date,user,bedtime,in_experimental_group,intended_bedtime,fitness,adherence_importance,rise_reason,risetime
"2015-06-04","30",2015-06-04 23:46:04.762,False,2015-06-04 23:30:00,56.0,78.0,True,2015-06-04 05:15:00
"2015-06-04","24",2015-06-05 00:08:19.698,False,2015-06-04 22:30:00,83.0,23.0,False,2015-06-04 07:40:00
"2015-06-04","31",2015-06-05 01:42:46.466,False,2015-06-05 01:30:00,69.0,14.0,True,2015-06-04 08:00:00
"2015-06-04","22",2015-06-04 22:27:30.314,True,2015-06-04 22:30:00,86.0,89.0,True,2015-06-04 08:35:00
"2015-06-04","1",2015-06-05 00:32:35.802,False,2015-06-05 00:00:00,48.0,81.0,True,2015-06-04 11:20:00
"2015-06-04","12",2015-06-04 23:31:30.310,True,2015-06-04 23:30:00,75.0,50.0,True,2015-06-04 07:30:00
"2015-06-04","37",2015-06-05 00:46:57.300,False,2015-06-04 23:30:00,18.0,38.0,True,2015-06-04 07:50:00
"2015-06-04","20",2015-06-04 23:14:19.251,True,2015-06-04 23:00:00,48.0,89.0,True,2015-06-04 07:40:00
"2015-06-04","29",,False,2015-06-05 01:00:00,44.0,64.0,True,2015-06-04 06:30:00
"2015-06-04","9",,False,2015-06-05 00:00:00,73.0,52.0,True,2015-06-04 07:30:00
"2015-06-04","18",2015-06-04 23:15:26.924,True,2015-06-04 23:00:00,72.0,38.0,True,2015-06-04 06:45:00
"2015-06-04","36",2015-06-04 22:40:02.848,False,2015-06-04 22:30:00,37.0,44.0,True,2015-06-04 07:30:00
"2015-06-04","34",2015-06-05 00:05:04.512,False,2015-06-04 22:30:00,25.0,44.0,True,2015-06-04 07:15:00
"2015-06-04","10",2015-06-04 22:46:17.899,True,2015-06-05 00:00:00,98.0,99.0,True,2015-06-04 08:15:00
"2015-06-04","32",,False,2015-06-04 23:00:00,86.0,54.0,True,2015-06-04 08:30:00
"2015-06-04","19",2015-06-05 00:08:11.925,False,2015-06-04 23:30:00,36.0,72.0,True,2015-06-04 07:30:00
"2015-06-04","26",2015-06-05 00:20:32.114,True,2015-06-04 22:45:00,44.0,24.0,True,2015-06-04 06:40:00
"2015-06-05","1",2015-06-06 03:09:07.443,False,2015-06-06 01:00:00,84.0,35.0,True,2015-06-05 11:00:00
"2015-06-05","31",2015-06-06 03:57:50.615,False,2015-06-06 01:30:00,59.0,8.0,True,2015-06-05 08:40:00
"2015-06-05","30",2015-06-05 23:45:23.600,False,2015-06-05 23:15:00,80.0,87.0,True,2015-06-05 05:45:00
"2015-06-05","37",2015-06-06 02:51:50.310,False,2015-06-06 01:00:00,7.0,0.0,False,2015-06-05 08:05:00
"2015-06-05","29",2015-06-06 00:42:56.979,False,2015-06-06 00:00:00,62.0,43.0,False,2015-06-05 06:30:00
"2015-06-05","34",2015-06-06 00:06:48.048,False,2015-06-05 22:30:00,30.0,40.0,True,2015-06-05 07:30:00
"2015-06-05","10",2015-06-06 03:53:39.462,True,2015-06-06 03:00:00,100.0,0.0,False,2015-06-05 09:30:00
"2015-06-05","22",2015-06-05 22:29:55.263,True,2015-06-06 00:00:00,91.0,21.0,False,2015-06-05 06:00:00
"2015-06-05","20",2015-06-05 23:54:35.731,True,2015-06-05 23:30:00,82.0,80.0,True,2015-06-05 07:00:00
"2015-06-05","18",2015-06-05 23:48:58.591,True,2015-06-06 00:00:00,84.0,20.0,False,2015-06-05 07:00:00
"2015-06-05","12",,True,2015-06-06 00:30:00,100.0,21.0,False,2015-06-05 09:30:00
"2015-06-05","9",,False,2015-06-05 23:00:00,53.0,55.0,True,2015-06-05 06:45:00
"2015-06-05","36",2015-06-05 22:55:09.971,False,2015-06-05 23:00:00,55.0,14.0,False,2015-06-05 07:30:00
"2015-06-05","26",2015-06-05 23:43:05.660,True,2015-06-05 22:54:00,78.0,83.0,True,2015-06-05 07:00:00
"2015-06-05","19",2015-06-05 23:45:57.208,False,2015-06-06 00:00:00,45.0,61.0,False,2015-06-05 09:00:00
"2015-06-06","31",2015-06-07 02:09:46.041,False,2015-06-07 01:00:00,78.0,11.0,True,2015-06-06 08:30:00
